name,definition,codesystem,code,ontologyTermURI
"Genetics/Genomics","A measurable DNA or RNA characteristic that indicates a normal biological process, a disease state, or a response to a therapeutic intervention.","FG","0000771","https://w3id.org/fair-genomes/resource/FG_0000771"
"Epigenetics/Epigenomics","Measurable indicators of epigenetic modifications, such as DNA methylation or histone modifications, that can be used to diagnose, predict, or monitor diseases. ","FG","0000772","https://w3id.org/fair-genomes/resource/FG_0000772"
"Transcription/Transcriptomics","Measurable characteristics of gene expression that indicate a biological process, pathogenic process, or response to a therapeutic intervention.","FG","0000773","https://w3id.org/fair-genomes/resource/FG_0000773"
"Metabolites/Metabolomics","Measurable indicators, typically small molecules or metabolites, found in biological samples (like blood, urine, or tissue) that reflect the presence or progression of a disease, the effects of treatment, or an individual's overall health status.","FG","0000774","https://w3id.org/fair-genomes/resource/FG_0000774"
"Proteins/Proteomics","Specific proteins or protein fragments found in biological samples (like blood or tissue) that indicate the presence, stage, or progression of a disease, or the response to a treatment.","FG","0000775","https://w3id.org/fair-genomes/resource/FG_0000775"
"Microbiomics/Microbiology","Measurable characteristics of the microbiome (the collection of microorganisms in a specific environment) that can be used to indicate the presence or progression of a disease, or to predict a person's response to treatment.","FG","0000776","https://w3id.org/fair-genomes/resource/FG_0000776"
"Biochemistry (biochemical)","Measurable indicators of a biological state, reflecting normal biological processes, disease states, or responses to therapeutic interventions.","FG","0000777","https://w3id.org/fair-genomes/resource/FG_0000777"
"NoInformation (NI, nullflavor)","The value is exceptional (missing, omitted, incomplete, improper). No information as to the reason for being an exceptional value is provided. This is the most general exceptional value. It is also the default exceptional value.","HL7","NI","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NI"
"Invalid (INV, nullflavor)","The value as represented in the instance is not a member of the set of permitted data values in the constrained value domain of a variable.","HL7","INV","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#INV"
"Derived (DER, nullflavor)","An actual value may exist, but it must be derived from the provided information (usually an EXPR generic data type extension will be used to convey the derivation expression .","HL7","DER","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#DER"
"Other (OTH, nullflavor)","The actual value is not a member of the set of permitted data values in the constrained value domain of a variable.The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g., concept not provided by required code system).","HL7","OTH","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#OTH"
"Negative infinity (NINF, nullflavor)","Negative infinity of numbers.","HL7","NINF","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NINF"
"Positive infinity (PINF, nullflavor)","Positive infinity of numbers.","HL7","PINF","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#PINF"
"Un-encoded (UNC, nullflavor)","The actual value has not yet been encoded within the approved value domain.","HL7","UNC","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNC"
"Masked (MSK, nullflavor)","There is information on this item available but it has not been provided by the sender due to security, privacy or other reasons. There may be an alternate mechanism for gaining access to this information.","HL7","MSK","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#MSK"
"Not applicable (NA, nullflavor)","Known to have no proper value (e.g., last menstrual period for a male).","HL7","NA","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NA"
"Unknown (UNK, nullflavor)","A proper value is applicable, but not known.","HL7","UNK","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNK"
"Asked but unknown (ASKU, nullflavor)","Information was sought but not found (e.g., patient was asked but didn't know)","HL7","ASKU","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#ASKU"
"Temporarily unavailable (NAV, nullflavor)","Information is not available at this time but it is expected that it will be available later.","HL7","NAV","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NAV"
"Not asked (NASK, nullflavor)","This information has not been sought. (e.g., patient was not asked)","HL7","NASK","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NASK"
"Not available (NAVU, nullflavor)","Information is not available at this time (with no expectation regarding whether it will or will not be available in the future).","HL7","NAVU","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NAVU"
"Sufficient quantity (QS, nullflavor)","The specific quantity is not known, but is known to be non-zero and is not specified because it makes up the bulk of the material. e.g. 'Add 10mg of ingredient X, 50mg of ingredient Y, and sufficient quantity of water to 100mL.' The null flavor would be used to express the quantity of water.","HL7","QS","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#QS"
"Trace (TRC, nullflavor)","The content is greater than zero, but too small to be quantified.","HL7","TRC","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#TRC"
